date,Open,High,Low,Last,Change,Volume
03/30/2020,160.76,161.69,147.2,150.88,-0.81999999999999,15762100
03/27/2020,145.7,154.97,145.6,151.7,10.55,13271900
03/26/2020,140.51,146.65,138.2,141.15,3.04,9284000
03/25/2020,140.1,149,136.2,138.11,2.93,14743000
03/24/2020,154,155,133.88,135.18,-24.38,22401300
03/23/2020,142,164.94,137.25,159.56,29.01,27681400
03/20/2020,129,135.98,124,130.55,6.78,13872600
03/19/2020,122.95,132.23,119.1,123.77,5.06,16248300
03/18/2020,111,119,108.85,118.71,7.61,13594300
03/17/2020,107.33,113.83,102,111.1,3.24,18721500
03/16/2020,105,119.87,103.2,107.86,0.39,17210600
03/13/2020,113,113.8,104.16,107.47,-2,9233500
03/12/2020,106.25,113.8712,104.39,109.47,-0.83,12097900
03/11/2020,108.41,113.99,107,110.3,1.81,12594300
03/10/2020,113.8,113.8,105,108.49,-5.26,10244000
03/09/2020,105,116.5,100.88,113.75,-0.56999999999999,14571200
03/06/2020,119.65,122,107,114.32,-10.68,22975600
03/05/2020,110.25,129.83,110,125,8.2,28149300
03/04/2020,118.51,119.97,113.11,116.8,-0.67,12102500
03/03/2020,114.55,119.2,112.11,117.47,4.36,11033600
03/02/2020,109.35,114.4999,102.5,113.11,8.11,10157400
02/28/2020,121.07,121.93,97.37,105,-8.55,21710900
02/27/2020,109.43,118,107.6,113.55,6.67,13511800
02/26/2020,109.94,111.3,105.6,106.88,-0.2,6885300
02/25/2020,108.52,111.8,104.4664,107.08,2.07,13425900
02/24/2020,97.15,110,97.02,105.01,3.25,12172700
02/21/2020,104.03,104.29,98.09,101.76,-3.53,5535900
02/20/2020,104,110.75,101.43,105.29,1.36,11293100
02/19/2020,100.32,105.08,99.75,103.93,7.54,7793700
02/18/2020,93.02,98.14,92.4,96.39,5.44,5669600
02/14/2020,90.88,91.71,89.81,90.95,1.09,2295000
02/13/2020,87.61,91.93,87,89.86,1.58,3406400
02/12/2020,88.66,89.5,86.52,88.28,-0.40000000000001,1671100
02/11/2020,90,90.5,87.93,88.68,-0.98999999999999,2731800
02/10/2020,89.09,89.98,86.91,89.67,1.03,2071600
02/07/2020,87.23,90.6,86.81,88.64,1.38,2636900
02/06/2020,87,89.44,85.26,87.26,0.27000000000001,2410700
02/05/2020,85.77,90.97,83.755,86.99,1.2,5126800
02/04/2020,91.04,93.3,83.5,85.79,-1.87,10611000
02/03/2020,77.69,88.94,77.51,87.66,11.36,13023400
01/31/2020,74.27,76.67,73.3,76.3,1.76,2521700
01/30/2020,73.1,74.8,72.55,74.54,0.96000000000001,1425300
01/29/2020,72.51,74.14,71.213,73.58,2.07,1374400
01/28/2020,71,72.48,70.26,71.51,1.07,1598200
01/27/2020,71.33,72.1317,70.32,70.44,-2.56,1750600
01/24/2020,74.97,76.185,72.3746,73,-1.47,1660100
01/23/2020,75.67,75.97,74.21,74.47,-1.14,1279000
01/22/2020,77.07,77.1056,75.46,75.61,-1.12,1501600
01/21/2020,75.56,77.12,74.32,76.73,1.17,1606600
01/17/2020,76.66,76.9,75.49,75.56,-0.55,1357400
01/16/2020,78,78.79,75.11,76.11,-0.83,2999400
01/15/2020,73.28,77.78,73.2,76.94,3.78,3963400
01/14/2020,74.32,75.115,72.26,73.16,-0.87,1910800
01/13/2020,73.89,75.58,73.8,74.03,0.94,3348100
01/10/2020,73.08,73.8,72.25,73.09,0.47,1656200
01/09/2020,73.99,74,71.35,72.62,0.070000000000007,2776300
01/08/2020,71.81,73.29,71.03,72.55,0.64999999999999,2483500
01/07/2020,70.29,72.84,69.37,71.9,1.58,7001100
01/06/2020,66.63,70.495,65.8116,70.32,3.04,3152000
01/03/2020,67.62,68.68,67.1,67.28,-1.44,1128400
01/02/2020,68.8,69.235,68.02,68.72,0.67999999999999,1315700
